# ReadBible — 1 Enoc, traducción propia al español
# Base: R. H. Charles, The Book of Enoch (1917), texto fuente de dominio público.
# Idioma fuente: inglés. La traducción es editorialmente propia de ReadBible.
# Formato: capítulo:versículo<TAB>texto. Se omite el aparato crítico griego/latino del texto de lectura.

1:1	Palabras de la bendición de Enoc, con las que bendijo a los elegidos y justos que vivirán en el día de la tribulación, cuando todos los malvados e impíos sean quitados.
1:2	Enoc, varón justo cuyos ojos fueron abiertos por Dios, tomó su parábola y dijo: vi la visión del Santo en los cielos, que los ángeles me mostraron; de ellos oí todas las cosas y comprendí lo que vi, no para esta generación, sino para una generación lejana que ha de venir.
1:3	Acerca de los elegidos hablé y pronuncié mi parábola: el Santo y Grande saldrá de su morada.
1:4	El Dios eterno pisará la tierra, sobre el monte Sinaí, y aparecerá con la fuerza de su poder desde el cielo de los cielos.
1:5	Todos serán heridos de temor; los Vigilantes temblarán, y un gran miedo y estremecimiento se apoderarán de ellos hasta los confines de la tierra.
1:6	Los montes altos serán sacudidos, las colinas elevadas serán abatidas y se derretirán como cera ante la llama.
1:7	La tierra será enteramente desgarrada, todo lo que hay sobre ella perecerá y habrá juicio sobre todos.
1:8	Pero con los justos hará paz; protegerá a los elegidos y habrá misericordia sobre ellos. Todos pertenecerán a Dios, prosperarán y serán bendecidos; Él los ayudará, la luz aparecerá para ellos y hará paz con ellos.
1:9	¡Miren! Viene con decenas de millares de sus santos para ejecutar juicio sobre todos, destruir a los impíos y convencer a toda carne de todas las obras de impiedad que cometieron y de todas las palabras duras que los pecadores impíos hablaron contra Él.
2:1	Observen todo lo que sucede en el cielo: cómo los cuerpos celestes no cambian sus órbitas, cómo todas las luminarias salen y se ponen en orden, cada una en su estación, y no transgreden el orden que les fue señalado.
2:2	Miren la tierra y presten atención a lo que sucede en ella desde el principio hasta el fin: cuán firmes son sus obras, cómo ninguna de las cosas de la tierra cambia, sino que todas las obras de Dios aparecen ante ustedes.
2:3	Miren el verano y el invierno, cómo toda la tierra se llena de agua y sobre ella reposan nubes, rocío y lluvia.
3:1	Observen y vean cómo en invierno todos los árboles parecen marchitarse y perder sus hojas, excepto catorce árboles que no pierden su follaje, sino que conservan las hojas viejas durante dos o tres años hasta que llegan las nuevas.
4:1	Observen también los días de verano, cuando el sol está sobre la tierra. Buscan sombra y refugio por el calor del sol, y la tierra arde con un calor creciente, de modo que no pueden pisar el suelo ni una roca a causa del calor.
5:1	Observen cómo los árboles se cubren de hojas verdes y dan fruto. Presten atención a todas sus obras y reconozcan cómo Aquel que vive para siempre las hizo así.
5:2	Todas sus obras continúan de año en año para siempre, y las tareas que cumplen para Él no cambian, sino que se realizan tal como Dios las ordenó.
5:3	Miren también cómo el mar y los ríos cumplen de la misma manera sus tareas y no se apartan de sus mandamientos.
5:4	Pero ustedes no han permanecido firmes ni han cumplido los mandamientos del Señor; se han apartado y han hablado palabras orgullosas y duras contra su grandeza con sus bocas impuras. Ustedes, duros de corazón, no encontrarán paz.
