# ReadBible — 1 Enoc, traducción propia al español
# Capítulos 37–71. Base: R. H. Charles (1917), dominio público.
# Se conserva la numeración; se omite el aparato crítico de otras recensiones en la lectura principal.

37:1	La segunda visión que vio Enoc, hijo de Jared, hijo de Mahalalel, hijo de Cainán, hijo de Enós, hijo de Set, hijo de Adán: una visión de sabiduría.
37:2	Este es el comienzo de las palabras de sabiduría que alcé mi voz para pronunciar a los que habitan sobre la tierra: escuchen, hombres de tiempos antiguos, y vean, ustedes que vendrán después, las palabras del Santo que hablaré delante del Señor de los Espíritus.
37:3	Sería mejor declararlas solamente a los hombres de tiempos antiguos, pero tampoco a los que vendrán después les ocultaremos el comienzo de la sabiduría.
37:4	Hasta el día presente nunca había sido dada por el Señor de los Espíritus una sabiduría como la que yo recibí conforme a mi entendimiento y al beneplácito del Señor de los Espíritus, por quien me fue concedida la porción de vida eterna.
37:5	Me fueron comunicadas tres Parábolas, y alcé mi voz y las relaté a los que habitan sobre la tierra.
38:1	Primera Parábola. Cuando aparezca la congregación de los justos, los pecadores sean juzgados por sus pecados y sean expulsados de la faz de la tierra,
38:2	y cuando el Justo aparezca ante los ojos de los justos, cuyas obras escogidas dependen del Señor de los Espíritus, y la luz aparezca a los justos y elegidos que habitan sobre la tierra, ¿dónde estará entonces la morada de los pecadores y el lugar de descanso de quienes negaron al Señor de los Espíritus? Habría sido mejor para ellos no haber nacido.
38:3	Cuando sean revelados los secretos de los justos y juzgados los pecadores, los impíos serán expulsados de la presencia de los justos y elegidos.
38:4	Desde entonces los que poseen la tierra ya no serán poderosos ni exaltados; no podrán contemplar el rostro de los santos, porque el Señor de los Espíritus hizo aparecer su luz sobre el rostro de los santos, justos y elegidos.
38:5	Entonces perecerán los reyes y los poderosos y serán entregados en manos de los justos y santos.
38:6	Desde entonces nadie podrá buscar para sí misericordia del Señor de los Espíritus, porque su vida habrá llegado a su fin.
39:1	En aquellos días, hijos elegidos y santos descenderán del alto cielo y su descendencia se unirá con los hijos de los hombres.
39:2	En aquellos días Enoc recibió libros de celo y de ira, y libros de inquietud y expulsión. No se les concederá misericordia, dice el Señor de los Espíritus.
